code_naf,code_rome,name,desc
,A1101,Conducteur / Conductrice d'engins agricoles,Chauffeur / Chauffeuse de machines agricoles (code OGR:11987) libelle:Chauffeur / Chauffeuse de machines agricoles
,A1101,Conducteur / Conductrice d'engins agricoles,Conducteur / Conductrice d'automoteur de récolte (code OGR:38874) libelle:Conducteur / Conductrice d'automoteur de récolte
,A1101,Conducteur / Conductrice d'engins agricoles,Conducteur / Conductrice de machines à vendanger (code OGR:13232) libelle:Conducteur / Conductrice de machines à vendanger
,A1101,Conducteur / Conductrice d'engins agricoles,Conducteur / Conductrice de matériels de semis (code OGR:38878) libelle:Conducteur / Conductrice de matériels de semis
,A1101,Conducteur / Conductrice d'engins agricoles,Conducteur / Conductrice de pulvérisateur (code OGR:38875) libelle:Conducteur / Conductrice de pulvérisateur
,A1101,Conducteur / Conductrice d'engins agricoles,Conducteur / Conductrice de tracteur (code OGR:13201) libelle:Conducteur / Conductrice de tracteur
,A1101,Conducteur / Conductrice d'engins agricoles,Conducteur / Conductrice de tracteur enjambeur (code OGR:140877) libelle:Conducteur / Conductrice de tracteur enjambeur
,A1101,Conducteur / Conductrice d'engins agricoles,Conducteur / Conductrice de tracto-benne (code OGR:38879) libelle:Conducteur / Conductrice de tracto-benne
,A1101,Conducteur / Conductrice d'engins agricoles,Conducteur / Conductrice d'engins d'exploitation agricole (code OGR:13254) libelle:Conducteur / Conductrice d'engins d'exploitation agricole
,A1101,Conducteur / Conductrice d'engins agricoles,Conducteur / Conductrice d'épareuse (code OGR:38877) libelle:Conducteur / Conductrice d'épareuse
,A1101,Conducteur / Conductrice d'engins agricoles,Opérateur / Opératrice d'épandage (code OGR:38876) libelle:Opérateur / Opératrice d'épandage
,A1101,Conducteur / Conductrice d'engins agricoles,Tractoriste agricole (code OGR:20404) libelle:Tractoriste agricole
,A1101,Conducteur / Conductrice d'engins agricoles,Tractoriste viticole (code OGR:405363) libelle:Tractoriste viticole
,A1102,Conducteur / Conductrice d'engins d'exploitation forestière,Conducteur / Conductrice d'abatteuses (code OGR:12862) libelle:Conducteur / Conductrice d'abatteuses
,A1102,Conducteur / Conductrice d'engins d'exploitation forestière,Conducteur / Conductrice de tête d'abattage (code OGR:13197) libelle:Conducteur / Conductrice de tête d'abattage
,A1102,Conducteur / Conductrice d'engins d'exploitation forestière,Conducteur / Conductrice de tracteur forestier (code OGR:404027) libelle:Conducteur / Conductrice de tracteur forestier
,A1102,Conducteur / Conductrice d'engins d'exploitation forestière,Conducteur / Conductrice d'engins de débardage (code OGR:13248) libelle:Conducteur / Conductrice d'engins de débardage
,A1102,Conducteur / Conductrice d'engins d'exploitation forestière,Conducteur / Conductrice d'engins forestiers (code OGR:13256) libelle:Conducteur / Conductrice d'engins forestiers
,A1102,Conducteur / Conductrice d'engins d'exploitation forestière,Conducteur / Conductrice d'engins sylvicoles (code OGR:404029) libelle:Conducteur / Conductrice d'engins sylvicoles
,A1102,Conducteur / Conductrice d'engins d'exploitation forestière,Débardeur / Débardeuse (code OGR:13886) libelle:Débardeur / Débardeuse
,A1102,Conducteur / Conductrice d'engins d'exploitation forestière,Débardeur forestier / Débardeuse forestière (code OGR:13887) libelle:Débardeur forestier / Débardeuse forestière
,A1102,Conducteur / Conductrice d'engins d'exploitation forestière,Opérateur / Opératrice d'abatteuse (code OGR:17055) libelle:Opérateur / Opératrice d'abatteuse
,A1102,Conducteur / Conductrice d'engins d'exploitation forestière,Pilote de machines d'abattage (code OGR:17751) libelle:Pilote de machines d'abattage
,A1102,Conducteur / Conductrice d'engins d'exploitation forestière,Tractoriste forestier / Tractoriste forestière (code OGR:20405) libelle:Tractoriste forestier / Tractoriste forestière
