code_naf,code_rome,name,desc
01.11Z,"","Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses","01.11Z Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses Cette sous-classe comprend toutes les formes de culture de plein champ de céréales, de légumineuses et de graines oléagineuses. Ces cultures sont souvent combinées au sein des unités agricoles. Cette sous-classe comprend : - la culture de céréales telles que : • blé • maïs-grain • sorgho • orge • seigle • avoine • millet • autres céréales n.c.a. - la culture de légumineuses telles que : • haricots • fèves • pois chiches • pois à vache • lentilles • lupins • pois"
01.12Z,"",Culture du riz,01.12Z Culture du riz Cette sous-classe comprend : - la culture du riz Produits associés : 01.12.10p
01.13Z,"","Culture de légumes, de melons, de racines et de tubercules","01.13.19 Autres légumes à feuilles ou à tiges CC : - salades, cardes, cardons, fenouil - autres légumes à feuilles ou à tiges CA : - le persil NC : - laitues (01.13.14) Classification des Produits Française CPF rév. 2.1 9 - la production de semences de légumes, y compris de graines de betteraves sucrières, à l'exclusion des graines d'autres betteraves - la culture des betteraves sucrières - la culture d'autres légumes - la culture de racines et de tubercules, tels que : • pommes de terre • patates douces • manioc • ignames • autres racines et tubercules Cette sous-classe ne comprend pas : - la culture de piments, de poivrons et d'autres plantes à épices et aromatiques (cf. 01.28Z) - la culture de blanc de champignons (cf. 01.30Z) Produits associés : 01.13.11p, 01.13.12p, 01.13.13p, 01.13.14p, 01.13.15p, 01.13.16p,"
01.14Z,"",Culture de la canne à sucre,01.14Z Culture de la canne à sucre Cette sous-classe comprend : - la culture de la canne à sucre Cette sous-classe ne comprend pas : - la culture de betteraves sucrières (cf. 01.13Z) Produits associés : 01.14.10p
01.15Z,"",Culture du tabac,01.15Z Culture du tabac Cette sous-classe comprend : - la culture du tabac Cette sous-classe ne comprend pas : - la fabrication de produits à base de tabac (cf. 12.00Z) Produits associés : 01.15.10p
01.16Z,"",Culture de plantes à fibres,"01.16Z Culture de plantes à fibres Cette sous-classe comprend : - la culture du coton - la culture de jute, de kenaf et d'autres fibres textiles libériennes - la culture de lin ou de chanvre - la culture de sisal et d'autres fibres textiles du genre agave - la culture de l'abaca, de la ramie et d'autres fibres textiles végétales - la culture d'autres plantes à fibres Produits associés : 01.16.11p, 01.16.12p, 01.16.19p"
01.19Z,"",Autres cultures non permanentes,"01.19Z Autres cultures non permanentes Cette sous-classe comprend : - la culture de rutabagas, betteraves fourragères, racines fourragères, luzerne, trèfle, sainfoin, maïs fourrager, choux fourragers et autres produits fourragers similaires - la production de graines de betteraves fourragères et de graines de plantes fourragères - la culture de fleurs, y compris la production de fleurs coupées et de boutons de fleurs - la production de semences de fleurs Cette sous-classe ne comprend pas : - la production de graines de betteraves sucrières (cf. 01.13Z) - les cultures non permanentes de plantes à épices, aromatiques, médicinales et pharmaceutiques (cf. 01.28Z) - la culture de plantes fleuries ou de fleurs en pot (cf. 01.30Z) Produits associés : 01.19.10p, 01.19.21p, 01.19.22p, 01.19.31p, 01.19.39p 01.2 CULTURES PERMANENTES Ce groupe comprend les cultures permanentes, c'est-à-dire les plantes dont la durée de vie est supérieure à deux saisons de croissance végétale et qui perdent leurs feuilles après chaque saison ou dont la croissance est continue. La culture de ces plantes aux fins de la production de semences est incluse."
01.21Z,"",Culture de la vigne,"01.21Z Culture de la vigne Cette sous-classe comprend : - la production de raisins de cuve et de raisins de table dans des vignobles Cette sous-classe ne comprend pas : - la production de vins (cf. 11.02) Produits associés : 01.21.11p, 01.21.12p"
01.22Z,"",Culture de fruits tropicaux et subtropicaux,01.22Z Culture de fruits tropicaux et subtropicaux Cette sous-classe comprend : - la culture de fruits tropicaux et subtropicaux : • avocats • bananes et plantains • dattes • figues • mangues • papayes • ananas
01.23Z,"",Culture d'agrumes,"01.23Z Culture d'agrumes Cette sous-classe comprend : - la culture d'agrumes : • pamplemousses et pomelos • citrons et limettes • oranges • tangerines, mandarines et clémentines • autres agrumes Produits associés : 01.23.11p, 01.23.12p, 01.23.13p, 01.23.14p, 01.23.19p"
01.24Z,"",Culture de fruits à pépins et à noyau,"01.24Z Culture de fruits à pépins et à noyau Cette sous-classe comprend : - la culture de fruits à pépins et à noyau : • pommes • abricots • cerises et griottes • pêches et nectarines • poires et coings • prunes et prunelles • autres fruits à pépins et à noyau Produits associés : 01.24.10p, 01.24.21p, 01.24.22p, 01.24.23p, 01.24.24p, 01.24.25p,"
01.25Z,"",Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque,"01.25.11 Kiwis CC : - kiwis Classification des Produits Française CPF rév. 2.1 17 • groseilles à maquereaux • kiwis • framboises • fraises • autres baies - la production de semences de fruits - la production de fruits à coque comestibles : • amandes • noix de cajou • châtaignes • noisettes • pistaches • noix communes • autres fruits à coque - la culture de caroubes et d'autres fruits d'arbres ou d'arbustes Cette sous-classe ne comprend pas : - la culture de la noix de coco (cf. 01.26Z) Produits associés : 01.25.11p, 01.25.12p, 01.25.13p, 01.25.19p, 01.25.20p, 01.25.31p,"
01.26Z,"",Culture de fruits oléagineux,"01.26Z Culture de fruits oléagineux Cette sous-classe comprend : - la culture de fruits oléagineux : • noix de coco • olives • palmiers à huile • autres fruits oléagineux Cette sous-classe ne comprend pas : - la culture de fèves de soja, d'arachides et d'autres graines oléagineuses (cf. 01.11Z) Produits associés : 01.26.11p, 01.26.12p, 01.26.20p, 01.26.90p"
01.27Z,"",Culture de plantes à boissons,"01.27.11 Café vert, en cerise ou en grain CC : - café vert en cerise ou en grain, ni grillé, ni décaféiné Classification des Produits Française CPF rév. 2.1 19 • thé • maté • cacao • autres plantes à boissons Produits associés : 01.27.11p, 01.27.12p, 01.27.13p, 01.27.14p"
01.28Z,"","Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques","01.28Z Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques Cette sous-classe comprend : - les cultures permanentes et non permanentes de plantes à épices et aromatiques : • poivre • piments et poivrons • noix muscades, macis, amomes et cardamomes • anis, badiane et fenouil • cannelle • clous de girofle • gingembre • vanille • houblon • autres plantes à épices et aromatiques - la culture de plantes médicinales et narcotiques - la culture de matières végétales utilisées principalement en parfumerie ou à usage insecticide, parasiticide ou similaire Produits associés : 01.28.11p, 01.28.12p, 01.28.13p, 01.28.14p, 01.28.15p, 01.28.16p,"
01.29Z,"",Autres cultures permanentes,"01.29.30 Matières premières végétales utilisées principalement pour la vannerie, le rembourrage, la teinture ou le tannage CC : - écorces et autres matières végétales pour la teinture et le tannage : rotin, bambou, osier, roseau, jonc, raphia, chiendent, kapok, crin végétal, etc., pour vannerie, sparterie, cannage ou rembourrage NC : - sève d'arbres ou gommes naturelles telles que le caoutchouc en milieu naturel (02.30.1) 01.3 PLANTS : PLANTS DE PÉPINIÈRE, BULBES, TUBERCULES ET RHIZOMES, BOUTURES ET GREFFONS ; BLANC DE CHAMPIGNON"
01.30Z,"",Reproduction de plantes,"01.30Z Reproduction de plantes Cette sous-classe comprend la production de tout type de matières végétales destiné à la propagation des végétaux, y compris boutures, drageons et semis, en vue de la propagation directe des plantes ou par l'intermédiaire de greffons. Cette sous-classe comprend : - la culture de plantes destinées à la plantation - la culture de plantes destinées à l'ornementation, y compris le gazon en rouleaux - la culture de plantes vivantes pour la production de bulbes, tubercules ou racines, de boutures et greffons, de blanc de champignon - l'exploitation de pépinières, à l'exception des pépinières forestières Cette sous-classe ne comprend pas : - la culture de plantes aux fins de la production de semences (cf. 01.1, 01.2) - l'exploitation de pépinières forestières (cf. 02.10Z) Produits associés : 01.30.10p 01.4 PRODUCTION ANIMALE Ce groupe comprend l'élevage de tous les animaux, à l'exception des animaux aquatiques. Ce groupe ne comprend pas : - l'hébergement et l'entretien d'animaux de ferme (cf. 01.62Z) - la production de cuirs et de peaux provenant d'abattoirs (cf. 10.11Z)"
01.41Z,"",Élevage de vaches laitières,"01.41Z Élevage de vaches laitières Cette sous-classe comprend : - l'élevage de vaches laitières - la production de lait cru de vache ou de bufflonne Cette sous-classe ne comprend pas : - la transformation du lait (cf. 10.51A) Produits associés : 01.41.10p, 01.41.20p"
01.42Z,"",Élevage d'autres bovins et de buffles,"01.42Z Élevage d'autres bovins et de buffles Cette sous-classe comprend : - l'élevage de bovins et de buffles pour leur viande - la production de sperme d'animaux de l'espèce bovine - l'élevage de bovins pour le trait, la tauromachie, etc. Cette sous-classe comprend aussi : - des activités spécialisées telles que celles des naisseurs, emboucheurs, etc."
01.43Z,"",Élevage de chevaux et d'autres équidés,"01.43Z Élevage de chevaux et d'autres équidés Cette sous-classe comprend : - l'élevage de chevaux, d'ânes, de mulets ou de bardots Cette sous-classe ne comprend pas : - l'exploitation de haras (cf. 01.62Z) - l'exploitation d'écuries de course et d'écoles d'équitation (cf. 93.19Z) Produits associés : 01.43.11p, 01.43.12p"
01.44Z,"",Élevage de chameaux et d'autres camélidés,"01.44.10 Chameaux et autres camélidés, vivants CC : - chameaux et dromadaires, lamas, alpagas, guanacos, vigognes et autres camélidés CA : - le sperme de camélidé"
01.45Z,"",Élevage d'ovins et de caprins,"01.45Z Élevage d'ovins et de caprins Cette sous-classe comprend : - l'élevage d'ovins et de caprins - la production de lait cru de brebis ou de chèvre - la production de laine brute Cette sous-classe ne comprend pas : - la tonte d'ovins pour le compte de tiers (cf. 01.62Z) - la production de laine de peaux (cf. 10.11Z) - la transformation du lait (cf. 10.51A) Produits associés : 01.45.11p, 01.45.12p, 01.45.21p, 01.45.22p, 01.45.30p"
01.46Z,"",Élevage de porcins,"01.46Z Élevage de porcins Cette sous-classe comprend : - l'élevage, hors sol ou extensif, de porcs ou sangliers Produits associés : 01.46.10p"
01.47Z,"",Élevage de volailles,"01.47.1 Volailles, vivantes CC : - poussins, poules, coqs, chapons, volailles élevées pour la chair, les œufs ou le foie Classification des Produits Française CPF rév. 2.1 25 Cette sous-classe comprend : - l'élevage de volailles : poulets, coqs, poules, dindes, dindons, canards, oies et pintades - la production d'œufs de volailles - l'exploitation de couvoirs pour volailles Cette sous-classe ne comprend pas : - la production de plumes et de duvets (cf. 10.12Z) Produits associés : 01.47.11p, 01.47.12p, 01.47.13p, 01.47.14p, 01.47.21p, 01.47.22p,"
01.49Z,"",Élevage d'autres animaux,"01.49Z Élevage d'autres animaux Cette sous-classe comprend : - l'élevage d'animaux semi-domestiqués ou d'autres animaux vivants : • autruches et émeus • autres oiseaux (à l'exception des volailles) • insectes • lapins et autres animaux à fourrure • cervidés • bisons • rennes - la production de pelleteries, de peaux de reptiles ou d'oiseaux provenant de l'exploitation de fermes d'élevage - la lombriculture, l'héliciculture, la production de crustacés terrestres, etc. - la sériciculture et la production de cocons de vers à soie - l'apiculture et la production de miel et de cire d'abeille - l'élevage d'animaux de compagnie (à l'exception des poissons) : • chats et chiens • oiseaux, tels que des perruches, etc. • hamsters, etc. - l'élevage d'animaux divers Cette sous-classe ne comprend pas : - la production de cuirs et peaux provenant de la chasse ou du piégeage (cf. 01.70Z) - l'exploitation de fermes d'élevage de grenouilles, de crocodiles, de vers marins (cf. 03.21Z et"
01.50Z,"",Culture et élevage associés,"01.50Z Culture et élevage associés Cette sous-classe couvre la production combinée de produits végétaux et de produits animaux sans spécialisation de la production dans les produits végétaux ou dans les animaux. La dimension de l'exploitation agricole globale n'est pas un facteur déterminant. Si dans une unité donnée, la production de produits végétaux ou d'animaux est égale ou supérieure à 66 % des marges brutes standard, l'activité combinée ne doit pas être affectée à cette sous-classe, mais dans la culture ou dans l'élevage. Cette sous-classe ne comprend pas : - les cultures mixtes concernées par plusieurs classes des groupes 01.1 et 01.2 - l'élevage mixte concerné par plusieurs classes du groupe 01.4 Produits associés : 01.11.11p, 01.11.12p, 01.11.20p, 01.11.31p, 01.11.32p, 01.11.33p,"
01.61Z,"",Activités de soutien aux cultures,"01.61.10 Services de soutien aux cultures CC : - préparation des terres - plantation, culture et fertilisation des sols - protection et traitement des cultures, y compris par pulvérisation aérienne - lutte contre les animaux nuisibles - taille des arbres fruitiers et des vignes - transplantation et tri des récoltes Classification des Produits Française CPF rév. 2.1 31 • taille des arbres fruitiers et des vignes • lutte contre les animaux nuisibles (y compris les lapins) en relation avec l'agriculture - le maintien des terres agricoles en bon état sur les plans agricole et environnemental - l'exploitation de systèmes d'irrigation pour l'agriculture Cette sous-classe comprend aussi : - la mise à disposition de machines agricoles avec conducteur et personnel Cette sous-classe ne comprend pas : - l'exploitation de canaux d'irrigation (cf. 36.00Z) - le traitement primaire des récoltes (cf. 01.63Z) - le drainage de terres agricoles (cf. 43.12) - l'architecture paysagère (cf. 71.11Z) - les activités des agronomes et des spécialistes de l'économie agricole (cf. 74.90B) - les services d'aménagement paysager (cf. 81.30Z) - l'organisation d'expositions et de foires agricoles (cf. 82.30Z) Produits associés : 01.61.10"
01.62Z,"",Activités de soutien à la production animale,"01.62Z Activités de soutien à la production animale Cette sous-classe comprend : - les activités agricoles suivantes exécutées pour le compte de tiers : • activités visant à promouvoir le repeuplement, la croissance et le rendement d'animaux • services de gardiennage et de conduite de troupeaux, de paissance, de castration de volailles, de nettoyage de poulaillers, etc. • insémination artificielle • services de haras • tonte d'ovins • hébergement et entretien d'animaux de ferme Cette sous-classe comprend aussi : - les activités des maréchaux-ferrants Cette sous-classe ne comprend pas : - la fourniture d'espace pour les activités de prise en pension d'animaux uniquement (cf. 68.20B) - les activités vétérinaires (cf. 75.00Z) - la vaccination d'animaux (cf. 75.00Z) - la location d'animaux, par exemple de troupeaux (cf. 77.39Z) - les activités de prise en pension d'animaux de compagnie (cf. 96.09Z) Produits associés : 01.62.10"
01.63Z,"",Traitement primaire des récoltes,"01.63Z Traitement primaire des récoltes Cette sous-classe comprend : - la préparation des récoltes en vue de leur commercialisation primaire : nettoyage, taille, triage, désinfection - l'égrenage du coton - la préparation des feuilles de tabac, par exemple séchage - la préparation des fèves de cacao, par exemple écabossage - le paraffinage de fruit - le séchage au soleil de fruits et de légumes Cette sous-classe ne comprend pas : - la préparation des produits agricoles par le producteur (cf. sous-classe correspondante dans les groupes 01.1, 01.2 ou 01.3) - les activités de traitement primaire des récoltes visant à améliorer la qualité des semences (cf. 01.64Z) - la préparation d'aliments périssables à base de fruits et de légumes tels que salades composées, salades emballées, légumes pelés, coupés, conditionnés (cf. 10.39) - l'écôtage et le resséchage des feuilles de tabac (cf. 12.00Z) - les activités marchandes des intermédiaires du commerce et des associations coopératives (cf. 46)"
01.64Z,"",Traitement des semences,"01.64Z Traitement des semences Cette sous-classe comprend l'ensemble des activités de traitement primaire des récoltes visant à améliorer la qualité des semences en les débarrassant des impuretés, des éléments de trop petite taille, des éléments endommagés par les traitements mécaniques ou par les insectes et des semences immatures ou encore en enlevant la moisissure afin de garantir des bonnes conditions d'entreposage. Cette activité comprend le séchage, le nettoyage, le triage et le traitement des semences jusqu'à leur commercialisation. Elle s'applique aussi aux céréales génétiquement modifiées. Cette sous-classe ne comprend pas : - la production de semences (cf. groupes 01.1 et 01.2) - le traitement des graines en vue d'obtenir de l'huile (cf. 10.41A) - les activités de recherche pour développer de nouvelles formes de graines ou les modifier (cf. 72.11Z) Produits associés : 01.64.10 01.7 CHASSE, PIÉGEAGE ET SERVICES ANNEXES"
01.70Z,"","Chasse, piégeage et services annexes","01.70.10 Chasse, piégeage et services annexes CC : - chasse et piégeage à des fins commerciales - prélèvement d'animaux, vivants ou morts, pour l'alimentation, leur fourrure, leur peau ou pour les destiner à la recherche, à des parcs zoologiques ou les utiliser comme animaux de compagnie - production de pelleteries, de peaux de reptiles ou d'oiseaux provenant d'activités de chasse ou de piégeage - entretien des réserves et repeuplement en gibier CA : - capture sur le rivage de mammifères marins tels que les morses et les phoques NC : - pelleteries, peaux de reptiles ou d'oiseaux provenant de l'exploitation de fermes d'élevage (01.4) - élevage de gibier dans des fermes d'élevage (01.49.1) - pêche à la baleine (03.00.69) - cuirs et peaux provenant d'abattoirs (10.11) - chasse exercée comme activité sportive ou récréative et services annexes (93.19.13) - services visant à promouvoir la chasse et le piégeage (94.99.19) Classification des Produits Française CPF rév. 2.1 35"
02.10Z,"",Sylviculture et autres activités forestières,"02.10Z Sylviculture et autres activités forestières Cette sous-classe comprend : - la production de bois sur pied : boisement, reboisement, transplantation, éclaircie et conservation des forêts et des zones boisées - la culture de taillis, de bois de trituration et de bois de chauffage - l'exploitation de pépinières forestières Cette sous-classe ne comprend pas : - la culture d'arbres de Noël (cf. 01.29Z) - la culture de matières végétales destinées à la vannerie (cf. 01.29Z) - l'exploitation de pépinières, à l'exception des pépinières forestières (cf. 01.30Z) - la récolte des champignons et d'autres produits forestiers non ligneux poussant à l'état sauvage (cf. 02.30Z) - la production de copeaux de bois et de bois en particules (cf. 16.10A) Produits associés : 02.10.11, 02.10.12, 02.10.20, 02.10.30 02.2 EXPLOITATION FORESTIÈRE"
02.20Z,"",Exploitation forestière,"02.20Z Exploitation forestière Cette sous-classe comprend : - la production de bois brut pour les industries forestières de transformation - la production de bois utilisé sous une forme brute, comme le bois de mine, les pieux de clôtures et les poteaux électriques - la production de bois à des fins énergétiques - la production de résidus de l'exploitation forestière à des fins énergétiques - la fabrication de charbon de bois en forêt, en utilisant des méthodes traditionnelles Cette sous-classe ne comprend pas : - la culture d'arbres de Noël (cf. 01.29Z) - la production de bois sur pied : boisement, reboisement, transplantation, éclaircie et conservation des forêts et des zones boisées (cf. 02.10Z) - la récolte des produits forestiers non ligneux poussant à l'état sauvage (cf. 02.30Z) - la production de copeaux de bois et de bois en particules (cf. 16.10A) - la production de charbon de bois par distillation du bois (cf. 20.14Z) Produits associés : 02.20.11, 02.20.12, 02.20.13, 02.20.14, 02.20.15 02.3 RÉCOLTE DE PRODUITS FORESTIERS NON LIGNEUX POUSSANT À L'ÉTAT SAUVAGE"
02.30Z,"",Récolte de produits forestiers non ligneux poussant à l'état sauvage,"02.30Z Récolte de produits forestiers non ligneux poussant à l'état sauvage Cette sous-classe comprend : - la récolte de produits poussant à l'état sauvage : • champignons et truffes • baies • fruits à coque • balata et autres gommes caoutchouteuses • liège • laque et résines • sucs et extraits végétaux • crin végétal • crin marin • glands et marrons d'Inde • mousses et lichens Cette sous-classe ne comprend pas : - la production dirigée de ces produits (à l'exception de la culture de chênes-lièges) (cf. 01) - la culture de champignons ou de truffes (cf. 01.13Z) - la culture de baies ou de fruits à coque (cf. 01.25Z) - la récolte de bois de chauffage (cf. 02.20Z) - la production de copeaux de bois (cf. 16.10A) Produits associés : 02.30.11, 02.30.12, 02.30.20, 02.30.30, 02.30.40 02.4 SERVICES DE SOUTIEN À L'EXPLOITATION FORESTIÈRE"
02.40Z,"",Services de soutien à l'exploitation forestière,"02.40.10 Services de soutien à l'exploitation forestière CC : - services annexes à la sylviculture : • entretien des forêts • inventaire des forêts • conseil en gestion et administration de la forêt • évaluation du bois • protection et lutte contre les feux de forêt • lutte contre les parasites forestiers - services annexes à l'exploitation forestière : • coupe, transport de grumes dans les forêts • fourniture de matériel d'exploitation forestière avec opérateur • gestion d'un patrimoine forestier avec exploitation pour compte de tiers NC : - exploitation de pépinières forestières (02.10.20) - drainage des terrains sylvicoles (43.12.11) - déblayage des chantiers de construction (43.12.11) Classification des Produits Française CPF rév. 2.1 39"
03.11Z,"",Pêche en mer,"03.11Z Pêche en mer Cette sous-classe comprend : - la pêche à des fins commerciales dans les eaux océaniques et côtières - la capture de crustacés et de mollusques marins - la pêche à la baleine - la capture d'animaux aquatiques marins tels que tortues, holothuries, tuniciers, oursins, etc. Cette sous-classe comprend aussi : - les activités des navires se livrant tant à la pêche en mer qu'à la transformation et à la conservation du poisson - la récolte d'autres produits marins tels que perles naturelles, éponges, coraux et algues Cette sous-classe ne comprend pas : - la capture d'autres mammifères marins, par exemple les morses et les phoques (cf. 01.70Z) - la transformation des baleines sur des bateaux usines (cf. 10.11Z) - la transformation des poissons, des crustacés et des mollusques sur des bateaux usines ou dans des usines à terre (cf. 10.20Z) - la location de bateaux de plaisance avec équipage pour le transport maritime et côtier, par exemple pour des croisières de pêche (cf. 50.10Z) - les services d'inspection, de protection et de surveillance de la pêche (cf. 84.24Z) - la pêche pratiquée en tant qu'activité sportive ou récréative et les services annexes (cf. 93.19Z) - l'exploitation de réserves pour la pêche sportive (cf. 93.19Z) Produits associés : 03.00.11p, 03.00.13p, 03.00.21, 03.00.31p, 03.00.41p, 03.00.42p,"
03.12Z,"",Pêche en eau douce,03.12Z Pêche en eau douce Cette sous-classe comprend : - la pêche à des fins commerciales en eaux intérieures - la capture de crustacés et de mollusques d'eau douce - la capture d'animaux aquatiques d'eau douce
03.21Z,"",Aquaculture en mer,"03.21Z Aquaculture en mer Cette sous-classe comprend : - l'aquaculture en eau de mer, y compris l'élevage de poissons ornementaux marins - la production de naissains de bivalves (huîtres, moules, etc.), de jeunes langoustes, de larves de crevettes, d'alevins et de saumoneaux - la culture d'algues et d'autres plantes aquatiques comestibles - l'ostréiculture, la conchyliculture - la culture d'autres crustacés, mollusques et animaux aquatiques d'eau de mer Cette sous-classe comprend aussi : - le greffage d'huîtres perlières - l'aquaculture dans les eaux saumâtres - l'aquaculture dans des citernes ou des réservoirs remplis d'eau salée - la pisciculture marine - l'exploitation de fermes d'élevage de vers marins Cette sous-classe ne comprend pas : - l'élevage de grenouilles (cf. 03.22Z) - l'exploitation de réserves pour la pêche sportive (cf. 93.19Z) Produits associés : 03.00.12p, 03.00.14p, 03.00.23, 03.00.32p, 03.00.43p, 03.00.44p,"
03.22Z,"",Aquaculture en eau douce,"03.22Z Aquaculture en eau douce Cette sous-classe comprend : - l'aquaculture en eau douce, y compris l'élevage de poissons ornementaux d'eau douce - la culture de crustacés, de bivalves, d'autres mollusques et d'autres animaux aquatiques d'eau douce - la pisciculture en eau douce - l'élevage de grenouilles, crocodiles, tortues Cette sous-classe ne comprend pas : - l'aquaculture dans des citernes ou des réservoirs remplis d'eau salée (cf. 03.21Z) - l'exploitation de réserves pour la pêche sportive (cf. 93.19Z)"
05.10Z,"",Extraction de houille,"05.10Z Extraction de houille Cette sous-classe comprend : - l'extraction de la houille en souterrain ou à ciel ouvert, y compris par le recours à des procédés de liquéfaction - le lavage, le triage, le calibrage, la pulvérisation, la compression, etc. destinées à classer, à accroître la qualité ou à faciliter le transport et le stockage de la houille pour compte propre Cette sous-classe comprend aussi : - l'exploitation des terrils en vue de la récupération de la houille Cette sous-classe ne comprend pas : - l'extraction de lignite (cf. 05.20Z) - l'extraction de la tourbe (cf. 08.92Z) - les activités de soutien à l'extraction de la houille (cf. 09.90Z) - les forages d'essai pour l'extraction de la houille (cf. 09.90Z) - les fours à coke produisant des combustibles solides (cf. 19.10Z) - l'agglomération de la houille et la fabrication de briquettes de houille (cf. 19.20Z)"
05.20Z,"",Extraction de lignite,"05.20.10 Lignite CC : - lignite CA : - autre houille brune, telle que houille sub-bitumineuse - les autres houilles brunes, comme charbon subbitumineux NC : - agglomérés et briquettes de lignite (19.20.12) Classification des Produits Française CPF rév. 2.1 49"
06.10Z,"",Extraction de pétrole brut,"06.10Z Extraction de pétrole brut Cette sous-classe comprend : - l'extraction d'huiles brutes de pétrole Cette sous-classe comprend aussi : - l'extraction de schistes et de sables bitumineux - la production de pétrole brut à partir de schistes et de sables bitumineux - les processus employés pour obtenir des huiles brutes : décantation, désalinisation, déshydratation, stabilisation, etc. Cette sous-classe ne comprend pas : - les activités de soutien à l'extraction d'hydrocarbures (cf. 09.10Z) - la prospection de pétrole et de gaz (cf. 09.10Z) - la fabrication de produits pétroliers raffinés (cf. 19.20Z) - la récupération du gaz de pétrole liquéfié provenant du raffinage du pétrole (cf. 19.20Z) - l'exploitation d'oléoducs ou de gazoducs (cf. 49.50Z) Produits associés : 06.10.10, 06.10.20 06.2 EXTRACTION DE GAZ NATUREL"
06.20Z,"",Extraction de gaz naturel,"06.20.10 Gaz naturel, liquéfié ou gazeux CC : - gaz naturel brut contenant principalement du méthane - gaz désulfuré et traité, y compris méthane liquéfié CA : - les hydrocarbures gazeux, n.c.a. NC : - gaz de raffineries (19.20.3) Classification des Produits Française CPF rév. 2.1 51"
07.10Z,"",Extraction de minerais de fer,07.10Z Extraction de minerais de fer Cette sous-classe comprend : - l'extraction de minerais exploités principalement en raison de leur teneur en fer - l'enrichissement et l'agglomération des minerais de fer Cette sous-classe ne comprend pas : - l'extraction et la préparation de la pyrite et de la pyrrhotite (cf. 08.91Z) - le grillage de la pyrite de fer (cf. 20.13B) Produits associés : 07.10.10 07.2 EXTRACTION DE MINERAIS DE MÉTAUX NON FERREUX Ce groupe comprend l'extraction de minerais de métaux non ferreux.
