code_naf,code_rome,name,desc
46.61Z,A1101,Conducteur / Conductrice d'engins agricoles,Chauffeur / Chauffeuse de machines agricoles (code OGR:11987) libelle:Chauffeur / Chauffeuse de machines agricoles
86.90A,A1101,Conducteur / Conductrice d'engins agricoles,Conducteur / Conductrice d'automoteur de récolte (code OGR:38874) libelle:Conducteur / Conductrice d'automoteur de récolte
28.99B,A1101,Conducteur / Conductrice d'engins agricoles,Conducteur / Conductrice de machines à vendanger (code OGR:13232) libelle:Conducteur / Conductrice de machines à vendanger
14.19Z,A1101,Conducteur / Conductrice d'engins agricoles,Conducteur / Conductrice de matériels de semis (code OGR:38878) libelle:Conducteur / Conductrice de matériels de semis
85.53Z,A1101,Conducteur / Conductrice d'engins agricoles,Conducteur / Conductrice de pulvérisateur (code OGR:38875) libelle:Conducteur / Conductrice de pulvérisateur
28.24Z,A1101,Conducteur / Conductrice d'engins agricoles,Conducteur / Conductrice de tracteur (code OGR:13201) libelle:Conducteur / Conductrice de tracteur
28.24Z,A1101,Conducteur / Conductrice d'engins agricoles,Conducteur / Conductrice de tracteur enjambeur (code OGR:140877) libelle:Conducteur / Conductrice de tracteur enjambeur
28.24Z,A1101,Conducteur / Conductrice d'engins agricoles,Conducteur / Conductrice de tracto-benne (code OGR:38879) libelle:Conducteur / Conductrice de tracto-benne
01.43Z,A1101,Conducteur / Conductrice d'engins agricoles,Conducteur / Conductrice d'engins d'exploitation agricole (code OGR:13254) libelle:Conducteur / Conductrice d'engins d'exploitation agricole
28.24Z,A1101,Conducteur / Conductrice d'engins agricoles,Conducteur / Conductrice d'épareuse (code OGR:38877) libelle:Conducteur / Conductrice d'épareuse
14.31Z,A1101,Conducteur / Conductrice d'engins agricoles,Opérateur / Opératrice d'épandage (code OGR:38876) libelle:Opérateur / Opératrice d'épandage
77.31Z,A1101,Conducteur / Conductrice d'engins agricoles,Tractoriste agricole (code OGR:20404) libelle:Tractoriste agricole
77.31Z,A1101,Conducteur / Conductrice d'engins agricoles,Tractoriste viticole (code OGR:405363) libelle:Tractoriste viticole
28.24Z,A1102,Conducteur / Conductrice d'engins d'exploitation forestière,Conducteur / Conductrice d'abatteuses (code OGR:12862) libelle:Conducteur / Conductrice d'abatteuses
85.53Z,A1102,Conducteur / Conductrice d'engins d'exploitation forestière,Conducteur / Conductrice de tête d'abattage (code OGR:13197) libelle:Conducteur / Conductrice de tête d'abattage
02.40Z,A1102,Conducteur / Conductrice d'engins d'exploitation forestière,Conducteur / Conductrice de tracteur forestier (code OGR:404027) libelle:Conducteur / Conductrice de tracteur forestier
50.20Z,A1102,Conducteur / Conductrice d'engins d'exploitation forestière,Conducteur / Conductrice d'engins de débardage (code OGR:13248) libelle:Conducteur / Conductrice d'engins de débardage
02.40Z,A1102,Conducteur / Conductrice d'engins d'exploitation forestière,Conducteur / Conductrice d'engins forestiers (code OGR:13256) libelle:Conducteur / Conductrice d'engins forestiers
80.10Z,A1102,Conducteur / Conductrice d'engins d'exploitation forestière,Conducteur / Conductrice d'engins sylvicoles (code OGR:404029) libelle:Conducteur / Conductrice d'engins sylvicoles
63.99Z,A1102,Conducteur / Conductrice d'engins d'exploitation forestière,Débardeur / Débardeuse (code OGR:13886) libelle:Débardeur / Débardeuse
02.40Z,A1102,Conducteur / Conductrice d'engins d'exploitation forestière,Débardeur forestier / Débardeuse forestière (code OGR:13887) libelle:Débardeur forestier / Débardeuse forestière
66.21Z,A1102,Conducteur / Conductrice d'engins d'exploitation forestière,Opérateur / Opératrice d'abatteuse (code OGR:17055) libelle:Opérateur / Opératrice d'abatteuse
28.23Z,A1102,Conducteur / Conductrice d'engins d'exploitation forestière,Pilote de machines d'abattage (code OGR:17751) libelle:Pilote de machines d'abattage
02.40Z,A1102,Conducteur / Conductrice d'engins d'exploitation forestière,Tractoriste forestier / Tractoriste forestière (code OGR:20405) libelle:Tractoriste forestier / Tractoriste forestière
56.29B,A1201,Bûcheron / Bûcheronne,Bûcheron élagueur / Bûcheronne élagueuse (code OGR:11607) libelle:Bûcheron élagueur / Bûcheronne élagueuse
47.78B,A1201,Bûcheron / Bûcheronne,Charbonnier / Charbonnière (code OGR:11740) libelle:Charbonnier / Charbonnière
46.12A,A1201,Bûcheron / Bûcheronne,Commis / Commise de coupe (code OGR:12755) libelle:Commis / Commise de coupe
96.02A,A1201,Bûcheron / Bûcheronne,Homme / Femme de pied (code OGR:38435) libelle:Homme / Femme de pied
02.40Z,A1201,Bûcheron / Bûcheronne,Ouvrier / Ouvrière d'exploitation forestière (code OGR:17483) libelle:Ouvrier / Ouvrière d'exploitation forestière
66.22Z,A1202,Agent / Agente d'entretien des espaces naturels,"Agent(e) aménagement des circuits pédestres, équestres, VTT (code OGR:10382) libelle:Agent / Agente d'aménagement des circuits pédestres, équestres et VTT"
66.22Z,A1202,Agent / Agente d'entretien des espaces naturels,Agent / Agente d'aménagement des haies et fossés (code OGR:10383) libelle:Agent / Agente d'aménagement des haies et fossés
66.22Z,A1202,Agent / Agente d'entretien des espaces naturels,Agent / Agente d'entretien de la nature (code OGR:10664) libelle:Agent / Agente d'entretien de la nature
